system:index,LST_C,NDBI,NDVI,NDWI,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,latitude,longitude,.geo
3089,35.96714689999999,-0.33153003999113906,0.805435086184637,-0.729446505640948,0.027122499999999994,0.06699749999999999,0.046152499999999985,0.42826500000000006,0.21500249999999999,0.09565249999999997,9.001253894170224,-75.61007457023499,"{""type"":""Point"",""coordinates"":[-75.61011577490618,9.001297081736759]}"
3090,31.233189200000027,-0.36475400014378956,0.8463733187794164,-0.7592651707839482,0.023519999999999985,0.058445000000000025,0.0355375,0.42711000000000005,0.198805,0.085835,9.264011114775185,-75.43490308983168,"{""type"":""Point"",""coordinates"":[-75.43501167873384,9.263933641816537]}"
3091,32.78497028000004,-0.28834849377917254,0.8011614505325637,-0.7342454150203986,0.027095000000000008,0.06196499999999999,0.044639999999999985,0.40436750000000005,0.22336250000000002,0.10148249999999998,9.214963100262258,-75.50739713326011,"{""type"":""Point"",""coordinates"":[-75.50731767146007,9.215025438688276]}"
3092,37.97694266000002,-0.3303535246135143,0.8222327253142224,-0.7285011260321962,0.02244750000000001,0.06509999999999999,0.04043250000000001,0.41446,0.2086225,0.09372750000000002,8.898845951780599,-75.6003727651665,"{""type"":""Point"",""coordinates"":[-75.60036279058552,8.898830050203197]}"
3093,44.50023383000001,0.09137692009094447,0.4939803856492102,-0.5672958092446845,0.040459999999999996,0.07068250000000001,0.08671499999999999,0.25601874999999996,0.3075125,0.16931125,8.9559788038506,-75.98197709786047,"{""type"":""Point"",""coordinates"":[-75.98208138787294,8.956027991105575]}"
3094,35.91074957000001,-0.29182525094049144,0.7983181824376814,-0.7378099574924845,0.022749999999999992,0.04976875,0.036995,0.32987,0.18083375,0.07718624999999998,8.5749134603271,-76.15849605118994,"{""type"":""Point"",""coordinates"":[-76.15856325128253,8.574998210797007]}"
3095,44.58055730000001,0.1077494884667659,0.5001560465341526,-0.568291256019081,0.04531375,0.0719475,0.08708625,0.2613675,0.32449375,0.17567750000000001,8.895342522172532,-75.99626031087796,"{""type"":""Point"",""coordinates"":[-75.99617443736037,8.895460341196253]}"
3096,36.71569327999998,-0.2643362298748133,0.7868734874770387,-0.6923221366794428,0.02896499999999999,0.06963750000000002,0.045685,0.3830275,0.2228675,0.10035499999999997,9.222778443234098,-75.62624424534913,"{""type"":""Point"",""coordinates"":[-75.62623634955608,9.222709601159293]}"
3097,41.77094486000004,0.0377618716841331,0.32261389974746607,-0.376568013249802,0.07561874999999998,0.10822000000000001,0.1223825,0.23895500000000003,0.25771,0.1950375,9.35995118711915,-75.95637511226306,"{""type"":""Point"",""coordinates"":[-75.95647116882938,9.35986486380654]}"
3098,37.43176847000001,-0.19302820161324577,0.6920398104626159,-0.6697861632070509,0.03176999999999999,0.06593875000000002,0.06068625,0.33343124999999996,0.225535,0.11440750000000002,8.878094868717438,-75.74050994948914,"{""type"":""Point"",""coordinates"":[-75.74041659707711,8.8781043296559]}"
3099,25.76606621000002,-0.310944738023906,0.7669964095888024,-0.6956950744012096,0.019587499999999994,0.0478025,0.035125,0.2663725,0.14001000000000002,0.06631,8.607791799725874,-75.81327348750281,"{""type"":""Point"",""coordinates"":[-75.81317893564353,8.607721654487502]}"
3100,34.88363456000002,-0.2408192661292101,0.7005106305834483,-0.6718933343895591,0.04059750000000001,0.08283750000000001,0.07434000000000002,0.422105,0.25826,0.132585,9.092612558565179,-75.53785002139178,"{""type"":""Point"",""coordinates"":[-75.53782396148675,9.092703483546483]}"
3101,37.98206969000003,-0.09440652481269056,0.5386459929685388,-0.5492461718601084,0.04069375,0.062075000000000005,0.06397249999999999,0.2133525,0.17654375,0.0949925,9.095038009832303,-75.68176012990772,"{""type"":""Point"",""coordinates"":[-75.68182607904774,9.095087636818455]}"
3102,35.854352240000026,-0.3583686828449,0.7838479809976249,-0.7242095596274107,0.027755000000000002,0.06306499999999998,0.047774999999999984,0.394275,0.1862375,0.079785,8.974573930231875,-75.64995976884988,"{""type"":""Point"",""coordinates"":[-75.65007434170457,8.974506140370664]}"
3103,37.70521006999999,-0.21589059499306754,0.7074942025523887,-0.6796747435512318,0.03671999999999999,0.06731374999999998,0.06046625,0.35297000000000006,0.227625,0.12044374999999999,9.08210226974098,-75.73215561734682,"{""type"":""Point"",""coordinates"":[-75.73219215837351,9.082212867973137]}"
3104,35.14682210000001,-0.2787071134083041,0.6662171854827141,-0.5744193454377867,0.03355749999999999,0.07849250000000002,0.05817,0.29038,0.16379749999999998,0.07904250000000002,9.22466490533075,-75.72326229603404,"{""type"":""Point"",""coordinates"":[-75.72314341050023,9.224543842302689]}"
3105,34.95883100000003,-0.2424920959056396,0.714228217121723,-0.6626995431477437,0.034355,0.07992250000000001,0.0656775,0.3939725,0.24019250000000003,0.1142975,8.994516529539327,-75.65966157391838,"{""type"":""Point"",""coordinates"":[-75.65960320840998,8.994522417938015]}"
3106,40.12345922000003,0.01308015309724636,0.47993981945837516,-0.5648254529385772,0.0535775,0.09232499999999999,0.1166625,0.33198750000000005,0.34078749999999997,0.2092275,9.105548298656501,-75.75048124914287,"{""type"":""Point"",""coordinates"":[-75.75045122201264,9.105545155948244]}"
